Fecha:,17/04/2023 16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Descripción:,"Archivo de todos los productos en todas las estaciones de servicio. Este archivo se genera una vez cada hora, con los precios en ese momento, y sobrescribe al de la hora anterior, que no se conserva.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siglas:,"Margen - D: Derecho, I: Izquierdo, N: No aplica    Tipo venta - P: Venta al público en general, R: Venta restringida a socios o cooperativistas  Rem. - OM: Datos procedentes del operador mayorista, dm: Datos procedentes del distribuidor minorista      Tipo servicio - P: Servicio asistido por personal, A: Autoservicio por parte del cliente, con presencia de personal en la instalación, D: Autoservicio por parte del cliente, sin presencia de personal en la instalación",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provincia,Municipio,Localidad,Código postal,Dirección,Margen,Longitud,Latitud,Toma de datos,Precio gasolina 95 E5,Precio gasolina 95 E10,Precio gasolina 95 E5 Premium,Precio gasolina 98 E5,Precio gasolina 98 E10,Precio gasóleo A,Precio gasóleo Premium,Precio gasóleo B,Precio gasóleo C,Precio bioetanol,% bioalcohol,Precio biodiésel,% éster metílico,Precio gases licuados del petróleo,Precio gas natural comprimido,Precio gas natural licuado,Precio hidrógeno,Rótulo,Tipo venta,Rem.,Horario,Tipo servicio
ALBACETE,ABENGIBRE,ABENGIBRE,02250,"AVENIDA CASTILLA LA MANCHA, 26",D,"-1,539167","39,211417",12/04/2023 10:31,"1,599",,,,,"1,479",,"1,179",,,,,,,,,,Nº 10.935,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00 (A)
ALBACETE,ALATOZ,ALATOZ,02152,"CR CM-332, 46,4",I,"-1,346083","39,100389",16/04/2023 13:44,"1,699",,,"2,200",,"1,570","2,300",,,,,,,,,,,REPSOL,P,dm,L-D: 7:00-23:00,L-D: 7:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",I,"-1,832000","39,054694",17/04/2023 00:00,"1,679",,,"1,821",,"1,539","1,629",,,,,,,,,,,BP ROMICA,P,OM,L-D: 06:00-21:30,L-D: 06:00-21:30 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 1",D,"-1,849833","39,000861",14/04/2023 13:00,"1,519",,,,,"1,439",,,,,,,,,,,,PLENOIL,P,dm,L-D: 24H,L-D: 24H (D)
ALBACETE,ALBACETE,ALBACETE,02001,"AVENIDA 1º DE MAYO, S/N",N,"-1,868500","38,985667",17/04/2023 11:19,"1,679",,,"1,789",,"1,549","1,589",,,,,,,,,,,CARREFOUR,P,dm,L-S: 08:00-22:00; D: 09:00-21:00,L-S: 08:00-22:00 (A); D: 09:00-21:00 (A)
ALBACETE,ALBACETE,ALBACETE,02001,"CALLE FEDERICO GARCIA LORCA, 5",I,"-1,846361","38,997722",17/04/2023 09:56,,,,,,"1,580",,,,,,,,,,,,CEPSA,R,dm,L-S: 05:00-23:00,L-S: 05:00-23:00 (A)
ALBACETE,ALBACETE,ALBACETE,02005,"CL PASEO DE LA CUBA, 15",D,"-1,854556","38,999722",16/04/2023 00:00,"1,679",,,"1,789",,"1,549","1,599",,,,,,,"0,935",,,,REPSOL,P,OM,L-D: 06:00-22:00,L-D: 06:00-22:00 (A)
ALBACETE,ALBACETE,ALBACETE,02005,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",D,"-1,885361","39,006889",15/04/2023 13:01,"1,578",,,,,"1,438","1,528",,,,,,,"0,818",,,,A&A,P,dm,L-S: 09:00-21:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,02005,"PASEO CUBA (LA), 36",N,"-1,859917","39,005083",11/04/2023 14:25,"1,689",,,"1,789",,"1,539","1,619",,,,,,,"0,999",,,,CEPSA,P,dm,L-D: 06:00-23:00,L-D: 06:00-23:00 (P)
ALBACETE,ALBACETE,ALBACETE,02005,"AVENIDA MENÉNDEZ PIDAL, 58",N,"-1,864917","39,003333",14/04/2023 10:22,"1,679",,,"1,789",,"1,539","1,599",,,,,,,,,,,TAMOS,P,dm,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02002,"CALLE HERMANOS FALCÓ, 2",D,"-1,849028","38,989250",13/04/2023 23:09,"1,689",,,"1,799",,"1,539","1,619",,,,,,,,,,,CEPSA,P,dm,L-D: 06:30-22:30,Sin datos
ALBACETE,ALBACETE,ALBACETE,02006,"PG CAMPOLLANO-P. 2-CT, S.N.",D,"-1,874972","39,012583",16/04/2023 00:00,"1,669",,,"1,789",,"1,539","1,629",,,,,,,,,,,REPSOL,P,OM,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,L-V: 06:00-22:00 (A); S: 07:30-15:30 (A); D: 09:00-15:00 (A)
ALBACETE,ALBACETE,ALBACETE,02006,"CR N-301, 244",I,"-1,892972","39,027778",16/04/2023 00:00,"1,659",,,"1,779",,"1,539","1,629",,,,,,,,,,,REPSOL,P,OM,L-D: 24H,L-D: 24H (A)
ALBACETE,ALBACETE,ALBACETE,02006,CARRETERA N-322 KM. 359,D,"-1,845083","39,033139",16/04/2023 00:00,"1,669",,,"1,789",,"1,529","1,619",,,,,,,,,,,REPSOL,P,OM,L-V: 07:00-21:00; S-D: 09:00-14:00,Sin datos
ALBACETE,ALBACETE,ALBACETE,02006,"CR N-322, 337,8",I,"-2,031861","38,925833",17/04/2023 10:40,"1,669",,,"1,809",,"1,559","1,629",,,,,,,,,,,REPSOL,P,dm,L-D: 06:30-22:00,L-D: 06:30-22:00 (P)
